,sku,style,skushortname,size,bin,zone,inv_bucket,soh,available_qty,commited_qty,picked_qty,hold_qty,unit_wac,inv_cost,sku_barcode,location,brand_name,uom
1427,HETFIELD-B-UNIVERSE-SUEDE-4,HETFIELD-B-UNIVERSE-SUEDE-4,Hetfield-B-Universe-Suede-4,04,OTH-R,SALZON2,good,80,80,0,0,0,12.77,1021.6,8907928293762,Warehouse,Off The Hook,Pcs
1428,HETFIELD-B-UNIVERSE-SUEDE-5,HETFIELD-B-UNIVERSE-SUEDE-5,Hetfield-B-Universe-Suede-5,05,OTH-R,SALZON2,good,70,70,0,0,0,12.77,893.9,8907928293779,Warehouse,Off The Hook,Pcs
1429,HETFIELD-B-UNIVERSE-SUEDE-6,HETFIELD-B-UNIVERSE-SUEDE-6,Hetfield-B-Universe-Suede-6,06,OTH-R,SALZON2,good,50,50,0,0,0,12.77,638.5,8907928293786,Warehouse,Off The Hook,Pcs
1430,HOLBORN-GOLD-03,HOLBORN-GOLD-03,Holborn-Gold-03,03,OTH-R,SALZON2,good,20,20,0,0,0,12.75,255,8907928296374,Warehouse,Off The Hook,Pcs
1431,HOLBORN-GOLD-04,HOLBORN-GOLD-04,Holborn-Gold-04,04,OTH-R,SALZON2,good,20,20,0,0,0,12.75,255,8907928296398,Warehouse,Off The Hook,Pcs
1432,HOLBORN-GOLD-05,HOLBORN-GOLD-05,Holborn-Gold-05,05,OTH-R,SALZON2,good,20,20,0,0,0,12.75,255,8907928296411,Warehouse,Off The Hook,Pcs
1433,HOLBORN-GOLD-06,HOLBORN-GOLD-06,Holborn-Gold-06,06,OTH-R,SALZON2,good,20,20,0,0,0,12.75,255,8907928296435,Warehouse,Off The Hook,Pcs
1434,HOLBORN-GOLD-07,HOLBORN-GOLD-07,Holborn-Gold-07,07,OTH-R,SALZON2,good,20,20,0,0,0,12.75,255,8907928296459,Warehouse,Off The Hook,Pcs
1435,HOLBORN-GOLD-08,HOLBORN-GOLD-08,Holborn-Gold-08,08,OTH-R,SALZON2,good,20,20,0,0,0,12.75,255,8907928296473,Warehouse,Off The Hook,Pcs
1436,HOLBORN-RED-03,HOLBORN-RED-03,Holborn-Red-03,03,11.15,Saleable Zone,good,17,17,0,0,0,40.99,696.83,8907928292758,Warehouse,Off The Hook,Pcs
1437,HOLBORN-RED-03,HOLBORN-RED-03,Holborn-Red-03,03,OTH-R,SALZON2,good,12,12,0,0,0,40.99,491.88,8907928292758,Warehouse,Off The Hook,Pcs
1438,HOLBORN-RED-04,HOLBORN-RED-04,Holborn-Red-04,04,11.15,Saleable Zone,good,18,18,0,0,0,40.99,737.82,8907928292772,Warehouse,Off The Hook,Pcs
1439,HOLBORN-RED-04,HOLBORN-RED-04,Holborn-Red-04,04,OTH-R,SALZON2,good,43,43,0,0,0,40.99,1762.57,8907928292772,Warehouse,Off The Hook,Pcs
1440,HOLBORN-RED-05,HOLBORN-RED-05,Holborn-Red-05,05,11.15,Saleable Zone,good,10,10,0,0,0,40.99,409.9,8907928292796,Warehouse,Off The Hook,Pcs
1441,HOLBORN-RED-05,HOLBORN-RED-05,Holborn-Red-05,05,OTH-R,SALZON2,good,85,85,0,0,0,40.99,3484.15,8907928292796,Warehouse,Off The Hook,Pcs
1442,HOLBORN-RED-06,HOLBORN-RED-06,Holborn-Red-06,06,11.15,Saleable Zone,good,9,9,0,0,0,40.99,368.91,8907928292819,Warehouse,Off The Hook,Pcs
1443,HOLBORN-RED-06,HOLBORN-RED-06,Holborn-Red-06,06,OTH-R,SALZON2,good,85,85,0,0,0,40.99,3484.15,8907928292819,Warehouse,Off The Hook,Pcs
1444,HOLBORN-RED-07,HOLBORN-RED-07,Holborn-Red-07,07,11.15,Saleable Zone,good,8,8,0,0,0,40.99,327.92,8907928292833,Warehouse,Off The Hook,Pcs
1445,HOLBORN-RED-07,HOLBORN-RED-07,Holborn-Red-07,07,OTH-R,SALZON2,good,53,53,0,0,0,40.99,2172.47,8907928292833,Warehouse,Off The Hook,Pcs
1446,HOLBORN-RED-08,HOLBORN-RED-08,Holborn-Red-08,08,11.15,Saleable Zone,good,17,17,0,0,0,40.99,696.83,8907928292857,Warehouse,Off The Hook,Pcs
1447,HOLBORN-RED-08,HOLBORN-RED-08,Holborn-Red-08,08,OTH-R,SALZON2,good,12,12,0,0,0,40.99,491.88,8907928292857,Warehouse,Off The Hook,Pcs
1448,HOLBORN-SILVER-03,HOLBORN-SILVER-03,Holborn-Silver-03,03,11.17,Saleable Zone,good,18,18,0,0,0,40.99,737.82,8907928292642,Warehouse,Off The Hook,Pcs
1449,HOLBORN-SILVER-03,HOLBORN-SILVER-03,Holborn-Silver-03,03,OTH-R,SALZON2,good,22,22,0,0,0,40.99,901.78,8907928292642,Warehouse,Off The Hook,Pcs
1450,HOLBORN-SILVER-04,HOLBORN-SILVER-04,Holborn-Silver-04,04,11.17,Saleable Zone,good,17,17,0,0,0,40.99,696.83,8907928292666,Warehouse,Off The Hook,Pcs
1451,HOLBORN-SILVER-04,HOLBORN-SILVER-04,Holborn-Silver-04,04,OTH-R,SALZON2,good,63,63,0,0,0,40.99,2582.37,8907928292666,Warehouse,Off The Hook,Pcs
1452,HOLBORN-SILVER-05,HOLBORN-SILVER-05,Holborn-Silver-05,05,11.17,Saleable Zone,good,8,8,0,0,0,40.99,327.92,8907928292680,Warehouse,Off The Hook,Pcs
1453,HOLBORN-SILVER-05,HOLBORN-SILVER-05,Holborn-Silver-05,05,OTH-R,SALZON2,good,105,105,0,0,0,40.99,4303.95,8907928292680,Warehouse,Off The Hook,Pcs
1454,HOLBORN-SILVER-06,HOLBORN-SILVER-06,Holborn-Silver-06,06,11.17,Saleable Zone,good,2,2,0,0,0,40.99,81.98,8907928292703,Warehouse,Off The Hook,Pcs
1455,HOLBORN-SILVER-06,HOLBORN-SILVER-06,Holborn-Silver-06,06,OTH-R,SALZON2,good,105,105,0,0,0,40.99,4303.95,8907928292703,Warehouse,Off The Hook,Pcs
1456,HOLBORN-SILVER-07,HOLBORN-SILVER-07,Holborn-Silver-07,07,11.17,Saleable Zone,good,8,8,0,0,0,40.99,327.92,8907928292727,Warehouse,Off The Hook,Pcs
1457,HOLBORN-SILVER-07,HOLBORN-SILVER-07,Holborn-Silver-07,07,OTH-R,SALZON2,good,63,63,0,0,0,40.99,2582.37,8907928292727,Warehouse,Off The Hook,Pcs
